00 00 100
00 00 200
00 00 190
00 01 820
00 01 930
00 01 334
00 01 392
00 01 331
00 01 335
00 02 112
00 02 224
00 02 135
00 03 553
00 03 543
00 03 542
00 03 611
00 04 522
00 04 431
00 04 532
00 04 349
00 04 582
00 05 495
00 06 501
00 06 992
00 07 214
00 08 245
00 08 429
00 08 792
00 08 398
00 09 801
00 10 605
00 10 802
00 10 528
00 10 702
00 11 401
00 11 695
00 11 546
00 11 760
00 12 605
00 12 679
00 12 608
00 12 705
00 12 702
00 13 709
00 14 602
00 15 704
00 15 504
00 15 603
00 15 709
00 15 512
